id,name,price,store
4141,CESAR GOVEDINA JETRA 150g ALU PAK,1.59,konzum
47334,ŠUNKA KUHANA NAR 125g MA PIK VRBOVEC,2.49,konzum
11498,HRENOVKE K PLUS 1000g,2.59,konzum
16132,KOZICA SVJEŽA PAK KONZUM,11.29,konzum
39074,TUNJ FILETI U MASL ULJU AQ 73.5G,3.99,konzum
12562,JOGURT 3.2% 180g ČAŠA DUKAT,0.44,konzum
33961,SLAD KORNET ŠUM VOĆE STRAC 120ML LED,1.79,konzum
33000,SIR I VRHNJE SVJEZE 200g PRESIDENT,1.99,konzum
36277,SV CARSKO MESO NAR 550g MA PIK VRBOV,4.39,konzum
41722,VINO PLAVAC 0.75L KV PZ I VIN DINGAČ,6.79,konzum
23995,OCAT BALZAMSKI 0.5L SILVER MONARI,4.09,konzum
24028,OCAT JABUČNI 1L VRBANEK,1.59,konzum
17139,KRUPICA PŠENIČNA 400g FRANCK,1.69,konzum
2883,BRAŠNO POLUBIJELO T-850 5kg MLINETA,4.89,konzum
37715,TIJESTO LASAGNE 112 500g ZARA,2.49,konzum
20912,MIX FR 3U1 180g VR,2.29,konzum
45931,ČAJ ŠIPAK AO 60g PODRAVKA,2.09,konzum
21099,MJEŠAVINA ZAČINA DALMATINSKI 12g L,1.09,konzum
15031,KEKS SPORT 300g KRAŠ,1.99,konzum
47268,ŠTAPIĆI KVIKI 220g PODRAVKA,1.79,konzum
29183,PUDING NOUGAT PREMIUM 48g PODRAVKA,0.99,konzum
21786,MUFFINS 360g DR OETKER,3.85,konzum
2249,BOMBON GUM KIKI COLA 90g KRAŠ,1.19,konzum
46597,ČOKOL MILK MILKINIS MILK 87.5g,2.49,konzum
6106,DESERT TWIX EXTRA 75g,1.49,konzum
2272,BOMBON HARIBO JAGODA 100g,1.59,konzum
16892,KRPA ZA POD TALENT EXTRA SOFT,4.79,konzum
9632,GEL TUŠ NIVEA COOL M 250ML,2.99,konzum
32588,SERUM OLIVAL SILIKONSKI ZA KOSU 30ML,6.89,konzum
9678,GEL TUŠ ULJE NIVEA DIAMOND 250ml,2.99,konzum
24888,PAHULJ LINO PILLOWS MILK 250g PODR,3.49,konzum
38589,TORTELLONI 4 VRSTE SIRA 450g,4.79,konzum
18969,LIZALICA CHUPA CHUPS XXL 29g,0.89,konzum
7653,DŽEM ŠLJIVA STEVIA K PLUS ACTIVE 330G,2.39,konzum
23193,NEGAZ PIĆE CAPPY PULPY BRES 1L,1.5,konzum
30503,RAKIJA TRAVARICA 0.7L ZVEČEVO,9.35,konzum
43111,VREĆICA ZAMR LD 3L 25/1 ROYAL,1.52,konzum
33901,SLAD CARTE D'OR VANILIJA 1L,7.99,konzum
26930,PIVO DVA KLASA 0.5l,1.99,konzum
43869,ZAGREBAČKI ODREZAK 400G LEDO,7.49,konzum
1304,BEČKI ODREZAK 400G LEDO,7.69,konzum
14373,KAŠ INST LINO 3 ŽITARICE 210G,3.19,konzum
17111,KRUMPIR ZA PEČENJE I PRŽENJE 2.5 kg,2.79,konzum
2029,BOMB PJENASTI PINK&WHITE 60G BEBETO,0.89,konzum
18984,LIZALICE COCTAIL MIX 48/1 920g ROSHEN,5.99,konzum
32133,SAPUN OLEA WHITE FLOWER 100 g,0.59,konzum
31920,SALV PALOMA PINK EAS 33X33 3SL 20/1,1.69,konzum
46167,ČIPI ČIPS SIR I LUK 120 g,2.19,konzum
5084,CROISSANT 7DAYS MIDI SPUMANTE 60 g,0.86,konzum
38627,TORTILJA ČIPS HRUSTY CHEESE 150 g,0.89,konzum
1534,BLAZINICE DJ SEPTONA 90/1,3.59,konzum
47061,ŠAMP I KUP SEPTONA BABY ALOE 500ml,4.99,konzum
25857,PAŠTETA KOKOŠJA PRSA JUNIOR 95 g ARGETA,1.39,konzum
25530,PARTY TRIK MIX 500 g,2.29,konzum
33223,SIR POLUT GAUDA BEZ LAK 300g FREE Z,3.99,konzum
15309,KEČAP BLAGI PREMIUM 760 g ZVIJEZDA,3.49,konzum
9770,GEL ČIŠĆ GARNIER PURE CHARC 250 ml,6.99,konzum
30737,REGENERATOR SYOSS INTEN PLEX 250 ml,6.49,konzum
16318,KREKER KUK MAHUNARKE ACTIVE ZONE 120 g,1.49,konzum
15367,KIKIRIKI HRUSTY U TIJESTU MIX 300g,2.59,konzum
7627,DŽEM K PLUS EXTRA SMOKVA 350g,2.49,konzum
28762,PROSECCO CUVEE VALDO DOC EDRY 0.75 l,12.05,konzum
31897,SALV PALOMA BOŽIĆ FOX 33X33 20/1,2.29,konzum
14059,KAVA MLJEV VIENNA JULIUS M 220g,6.59,konzum
26248,PERECI LOMLJENI MINI MED SENF LUK 125g ELEPHANT ,1.89,konzum
38373,TOAST AMERICAN 750 g XXL KLARA,2.99,konzum
17298,KULEN 300 g XXL NAR PODRAVKA,5.99,konzum
18188,LAN BIO ZONE 500 g,1.99,konzum
36173,SUNCOKRET SJEMENKE BIO ZONE 500 g,1.99,konzum
34658,SNACK VOĆ JAB/KRUŠ/BAN 180g NUTRINO,1.89,konzum
15866,KOLAČ DULCETTI LIMUN 400g,2.49,konzum
32620,SET BUGATTI M EDT100+SG200,20.0,konzum
23130,NEG PIĆE A+C+E  VINDI 0.5 L,0.99,konzum
32189,SARDINA BIO MASL ULJE 100/70g MAR,2.49,konzum
28918,PROTEIN ZOE WHEY MOZART KUGELN 25 g,1.99,konzum
38722,TP PALOMA CLASSIC 3SL 16/1,2.99,konzum
43514,WC NET INTENSE LAVANDER 750 ml,3.45,konzum
16153,KOŠARICE LISNATO 60 g 12/1 CONFILETA,4.99,konzum
6025,DESERT KIT KAT WHITE 41.50 g NESTLE,1.35,konzum
17010,KRUH POLUBIJELI REZANI 600 g,1.49,konzum
40501,VANILICE SA DŽEMOM OD ŠLJIVA 230 g,2.99,konzum
25419,PAPRIKA LJUTA kom,0.29,konzum
9146,GAZ PIĆE SCHWEPPES PURPLE TONIC 1 L,1.79,konzum
22832,NAPITAK MONSTER THROTTLE ZERO 0.5 L,1.95,konzum
31887,SALV NATUR PREM ZEL 33X33 3SL 30/1,0.99,konzum
47324,ŠUNKA DIMLJ SK ZA KUHANJE VP,8.69,konzum
19703,MAK MLJEVENI 200g ŠAFRAM,2.39,konzum
36170,SUNCOKRET PRŽ SL OLJUŠT 100g MOGYI,1.39,konzum
14477,KAŠICA HIPP PILE RIŽ POVRĆE 190g,1.99,konzum
23225,NEKTAR  NARANČA BRAVO 2L,3.99,konzum
23202,NEGAZ PIĆE JUICY FRUITS MULTI 1.5L,1.69,konzum
39690,ULJE MASLINOVO EX DJEV MONINI 1L,12.99,konzum
16921,KRUH BIJELI SENDVIČ 650g MLINAR,1.75,konzum
5089,CROISSANT 7DAYS MINI KAKAO 60g,1.09,konzum
4973,CORNFLAKES 1kg VENOSTA POHIT,4.65,konzum
31071,RIŽA NA MLIJEKU KLASSIK 125g DR OET,2.29,konzum
31087,RIŽA ZL POLJE ST ANDREA 1KG KUT VAK,4.99,konzum
11975,INSTANT KAVA GOLD 100g BOČICA FRANC,5.49,konzum
8515,FLIPS BOBI PIZZA 70g,0.95,konzum
6789,DODATAK ZA ČOBANAC BLAGI 80g BISTRO,1.19,konzum
2302,BOMBON KOMPRIMAT VAU VAU 20g,1.19,konzum
46595,ČOKOL MIKADO RIŽA 300g,4.49,konzum
27713,PJENA ZA KOSU  INTESA STRONG HOLD300 2238,3.49,konzum
18888,LIP BALM ROS SHINE BLIS 0105,1.0,konzum
43502,WC NET BIOLOŠKE SEPT JAME 16/1,9.65,konzum
2297,BOMBON KARAMELA LJEŠNJAK 100g PIONIR,1.69,konzum
46084,ČETKICA AQUA INTERDENTAL MED 2/1,3.79,konzum
27275,PIVO PAN LIM 0.5L 4 PACK,5.15,konzum
24883,PAHULJ LINO CRUNCH DUO PODR 225g,3.19,konzum
7014,DRESSING BALSAMICO 75ML DEVELEY,0.79,konzum
47232,ŠIŠ ČEVAPČIĆI S KAJMAKOM 520g RAWSTILJ PAN,5.29,konzum
46721,ČOKOLADA KINDER T12 150g,2.59,konzum
12309,JAJA SVJ K PLUS L 10/1 PODNI UZGOJ,2.99,konzum
47283,ŠTAPIĆI SALTAS KIKIRIKI 4PACK 160g,1.79,konzum
47248,ŠLAGFIX 3X8g DOLCELA,0.99,konzum
43561,WHISKAS DREAMIES SIR 60g,1.79,konzum
18989,LIZALICE MINI NIMM2 120g,2.35,konzum
9123,GAZ PIĆE PARTY COLA 2L,1.09,konzum
20225,MASLINE SNACK KALAMATA ODKOŠT 65g,2.59,konzum
20275,MASLINE ZELENE OTKOŠT 330g/160 g POD,2.89,konzum
6251,DET JAR LEMON 900ml,4.15,konzum
23226,NEKTAR ANANAS JUICY 1L,2.49,konzum
8718,FRISEE-RADIČ-MRKVA 400 grama,1.99,konzum
2989,BRISAČ PODA MOP CELUL ZAMJ KRPA DAX,1.59,konzum
44171,ZAČIN LOVOR LIST 5g VEGETA MAESTRO,0.89,konzum
16613,KREMA LOREAL DE AGE SPEC 65+ DAN 50ML,9.99,konzum
38400,TOAST K PLUS S MASLACEM 500g,1.75,konzum
19202,LOSION ZA TIJELO NIVEA ALOE&HYDRATION 250ml,4.0,konzum
14008,KAVA LAVAZZA CREME E GUSTO 250g,7.15,konzum
19835,MARAMICE VLAŽNE BLISTA DRVO 50/1,1.99,konzum
39127,TUNJ SALATA MEXICANA 160g EVA,4.29,konzum
25826,PAČJA PRSA cca 180-330g HUNENT,13.99,konzum
40157,UMAK RAJČICA I PARMIGIANO SIR 400g MUTTI,2.99,konzum
42534,VODA CEDEVITA VIT LIMUN ANANAS 0.5L ,1.15,konzum
13101,JUNEĆA PLJESKAVICA E450g PPK,4.49,konzum
20946,MIX NESCAFE STRONG 3U1 14g,0.35,konzum
33810,SKUŠA S POVRĆEM EVA 100g/70g,1.99,konzum
32623,SET DOVE W DEEPLY SG+LOS+KREMA,9.0,konzum
43602,WHISKAS TEMPTAT LOSOS 60g,1.89,konzum
21310,MLIJEKO TIJ OLEA HYDRATING 500ml,1.99,konzum
21667,MUESLI CRUNCHY FOREST FRUIT 300g,3.99,konzum
47076,ŠAMPON AFR KON KERATIN 950ml,5.59,konzum
311,AJVAR BLAGI 560g DOORA,3.32,konzum
22448,NAMAZ KIKIRIKI MASL 350G LINO,4.29,konzum
38870,TUBA NAT GERBER JAB BOR BAN 90 g,1.39,konzum
33904,SLAD CINQUE STELLE PISTACIJA 4x90 ml,5.99,konzum
16103,KORIJANDER 27 g VEGETA MAESTRO,1.59,konzum
25304,PAPAR CRNI MLJEVENI 50 g SPICE CHEF,0.79,konzum
14771,KEKS JIMMY NOISETTE 145g,2.69,konzum
47096,ŠAMPON H&S 2IN1 CLASSIC CLEAN 330 ml,6.69,konzum
9642,GEL TUŠ NIVEA FRUITY DELIGHT 250 ml,2.99,konzum
32686,SHEBA MM JUNIOR MIJ IZBOR LOS PIL 4X85 g,3.29,konzum
23183,NEG PIĆE TOCO LIMUN KRASTAVAC 0.5 L,1.05,konzum
35452,SOMAT EXCELLENCE 5IN1 20TAB,17.99,konzum
8443,FINISH QUANTUM AIO LEMON 36TAB,17.49,konzum
7620,DŽEM K PLUS EXTRA JAGODA 350g,2.49,konzum
44689,ZP PLIDENTA HERBAL 125 ml+75 ml,2.69,konzum
20333,MAYOKETCHUP 425g HEINZ,4.49,konzum
16869,KRPA POD 50X65 cm CS,1.79,konzum
23920,OAT BAR ZOE DOUBLE CHOCOLATE 65 g,1.69,konzum
30705,REGEN PANTENE COLOR 275 ml,5.99,konzum
3954,CAPPUCCINO NESCAFE IRISH 8/1 112 g,3.99,konzum
45755,ČAJ KADULJA LIST 40 g AGRISTAR,2.29,konzum
12212,JABUKA CRIMSON SNOW,1.99,konzum
33991,SLAD MACHO SENDVIČ 3X129 ml,5.99,konzum
6165,DET ARIEL FRESH 2.75 kg=50 PR,21.99,konzum
15991,KOMPOT BRESKVA POL 820/480 g EXCELS,2.99,konzum
