"NAZIV_PROIZVODA";"ŠIFRA_PROIZVODA";"MARKA_PROIZVODA";NETO_KOLIČINA;"JEDINICA_MJERE";MALOPROD.CIJENA(EUR);CIJENA_ZA_JEDINICU_MJERE;MPC_POSEB.OBLIK_PROD;POSEB.OBLIK_PROD__ZA_JEDINICU_MJERE;NAJNIŽA_MPC_U_30DANA;SIDRENA_CIJENA;"BARKOD";"KATEGORIJA_PROIZVODA"
"JOGURT JAGODA 150g";"001137902";"LAND";0.15;"KG";0.37;2.47;0.29;1.93;0.37;0.37;"80511717";"JOGURTI I DESERTI"
"JOGURT JAGODA 150g";"001137902";"LAND";0.15;"KG";0.37;2.47;0.29;1.93;0.37;0.37;"8017596000347";"JOGURTI I DESERTI"
"JOGURT JAGODA 150g";"001137902";"LAND";0.15;"KG";0.37;2.47;0.29;1.93;0.37;0.37;"80761228";"JOGURTI I DESERTI"
"JOGURT KOKOS 150g";"001137904";"LAND";0.15;"KG";0.37;2.47;0.29;1.93;0.37;0.37;"8017596000330";"JOGURTI I DESERTI"
"JOGURT KOKOS 150g";"001137904";"LAND";0.15;"KG";0.37;2.47;0.29;1.93;0.37;0.37;"80761198";"JOGURTI I DESERTI"
"JOGURT KAVA 150g";"001137905";"LAND";0.15;"KG";0.37;2.47;0.29;1.93;0.37;0.37;"8017596000323";"JOGURTI I DESERTI"
"JOGURT KAVA 150g";"001137905";"LAND";0.15;"KG";0.37;2.47;0.29;1.93;0.37;0.37;"80761235";"JOGURTI I DESERTI"
"JOGURT ŠUMSKO VOĆE 150g";"001137906";"LAND";0.15;"KG";0.37;2.47;0.29;1.93;0.37;0.37;"8017596000354";"JOGURTI I DESERTI"
"JOGURT ŠUMSKO VOĆE 150g";"001137906";"LAND";0.15;"KG";0.37;2.47;0.29;1.93;0.37;0.37;"80761242";"JOGURTI I DESERTI"
"JOGURT VANILIJA 150g";"001137908";"LAND";0.15;"KG";0.37;2.47;0.29;1.93;0.37;0.37;"80761204";"JOGURTI I DESERTI"
"MASLINE ZELENE 565g/340g";"001252601";"VARIAGUSTO";0.34;"KG";1.99;5.85;0;0;0;1.99;"8002170406035";"KONZER.PROIZVODI U ULJU/OCTU"
"MASLINE ZELENE 565g/340g";"001252601";"VARIAGUSTO";0.34;"KG";1.99;5.85;0;0;0;1.99;"8017596008237";"KONZER.PROIZVODI U ULJU/OCTU"
"MASLINE ZELENE BEZ KOŠTICE 545/250g";"001253401";"VARIAGUSTO";0.25;"KG";1.99;7.96;0;0;0;1.99;"8002170407018";"KONZER.PROIZVODI U ULJU/OCTU"
"MASLINE ZELENE BEZ KOŠTICE 545/250g";"001253401";"VARIAGUSTO";0.25;"KG";1.99;7.96;0;0;0;1.99;"8017596008244";"KONZER.PROIZVODI U ULJU/OCTU"
"VINO CASTELLI ROM. DOC BIANCO 1,5l";"001318501";"NO BRAND";1.5;"LT";3.42;2.28;0;0;0;3.42;"8004300360910";"VINA"
"VINO CASTELLI ROM. DOC BIANCO 1,5l";"001318501";"NO BRAND";1.5;"LT";3.42;2.28;0;0;0;3.42;"8000013004455";"VINA"
"VINO CASTELLI ROM. DOC BIANCO 1,5l";"001318501";"NO BRAND";1.5;"LT";3.42;2.28;0;0;0;3.42;"8001333300036";"VINA"
"VINO CASTELLI ROM. DOC BIANCO 1,5l";"001318501";"NO BRAND";1.5;"LT";3.42;2.28;0;0;0;3.42;"8005833001653";"VINA"
"VINO CASTELLI ROM. DOC BIANCO 1,5l";"001318501";"NO BRAND";1.5;"LT";3.42;2.28;0;0;0;3.42;"8000128095140";"VINA"
"KAVA CUOR D'AROMA 250g";"001363101";"DON JEREZ";0.25;"KG";3.69;14.76;0;0;0;3.69;"8017596000538";"KAVA/ČAJEVI/DRUGO"
"KAVA ESPRESSO DON JEREZ 250g";"001364901";"DON JEREZ";0.25;"KG";3.99;15.96;0;0;0;3.69;"8017596000521";"KAVA/ČAJEVI/DRUGO"
"KAVA BEZ KOFEINA DON JEREZ 250g";"001365601";"DON JEREZ";0.25;"KG";3.99;15.96;0;0;0;3.99;"8017596000514";"KAVA/ČAJEVI/DRUGO"
"BRAŠNO KUKURUZNO ZA PALENTU 1kg";"001415901";"TRE MULINI";1;"KG";0.99;0.99;0;0;0;0.99;"8000439101110";"BRAŠNO"
"BRAŠNO KUKURUZNO ZA PALENTU 1kg";"001415901";"TRE MULINI";1;"KG";0.99;0.99;0;0;0;0.99;"8000439101202";"BRAŠNO"
"BRAŠNO KUKURUZNO ZA PALENTU 1kg";"001415901";"TRE MULINI";1;"KG";0.99;0.99;0;0;0;0.99;"8000439102001";"BRAŠNO"
"BRAŠNO KUKURUZNO ZA PALENTU 1kg";"001415901";"TRE MULINI";1;"KG";0.99;0.99;0;0;0;0.99;"8017596013569";"BRAŠNO"
"KOCKA ZA JUHU SA MESOM 220g";"001483701";"DON JEREZ";0.22;"KG";1.19;5.41;0;0;0;1.19;"8017596010377";"RAJČICA/DODACI"
"KOCKA ZA JUHU SA MESOM 220g";"001483701";"DON JEREZ";0.22;"KG";1.19;5.41;0;0;0;1.19;"8005650052302";"RAJČICA/DODACI"
"JOGURT OBIČNI 150g";"001661801";"LAND";0.15;"KG";0.37;2.47;0.29;1.93;0.37;0.37;"8017596000378";"JOGURTI I DESERTI"
"JOGURT OBIČNI 150g";"001661801";"LAND";0.15;"KG";0.37;2.47;0.29;1.93;0.37;0.37;"8017596005762";"JOGURTI I DESERTI"
"JOGURT OBIČNI 150g";"001661801";"LAND";0.15;"KG";0.37;2.47;0.29;1.93;0.37;0.37;"80761167";"JOGURTI I DESERTI"
"MED CVJETNI 500g";"001761601";"DOLCIANDO";0.5;"KG";3.98;7.96;0;0;0;3.98;"8006099410920";"DORUČAK - PAHULJICE/NAMAZI/MED"
"MED CVJETNI 500g";"001761601";"DOLCIANDO";0.5;"KG";3.98;7.96;0;0;0;3.98;"8006099413242";"DORUČAK - PAHULJICE/NAMAZI/MED"
"MED CVJETNI 500g";"001761601";"DOLCIANDO";0.5;"KG";3.98;7.96;0;0;0;3.98;"8017596017741";"DORUČAK - PAHULJICE/NAMAZI/MED"
"KOCKE ZA POTPALU VATRE 48kom 273g";"001902601";"EUROGARDEN";1;"PZ";1.19;1.19;0;0;0;1.19;"8008752000073";"INSEKTICIDI/SVIJEĆE/OSVJEŽIVAČ"
