NAZIV PROIZVODA,ŠIFRA PROIZVODA,MARKA PROIZVODA,NETO KOLIČINA,JEDINICA MJERE,MALOPRODAJNA CIJENA,CIJENA ZA JEDINICU MJERE,MPC ZA VRIJEME POSEBNOG OBLIKA PRODAJE,NAJNIŽA CIJENA U POSLJEDNIH 30 DANA,SIDRENA CIJENA NA 2.5.2025,BARKOD,KATEGORIJA PROIZVODA
CESAR GOVEDINA JETRA 150g ALU PAK,01641345,CESAR,0.15 kg,ko,1.59,10.6,,1.29,1.52,4008429158797,PROIZVODI ZA KUĆANSTVO
ŠUNKA KUHANA NAR 125g MA PIK VRBOVEC,02036499,PIK VRBOVEC,0.13 kg,ko,2.49,19.92,,1.99,2.49,3850139360516,HRANA
HRENOVKE K PLUS 1000g,02044269,K PLUS,1.00 kg,ko,2.59,2.59,,2.19,2.19,3850334116413,HRANA
KOZICA SVJEŽA PAK KONZUM,02197318,,1.00 kg,kg,11.29,11.29,,6.29,11.29,,HRANA
TUNJ FILETI U MASL ULJU AQ 73.5G,02198481,ADRIATIC QUEEN,0.07 kg,ko,3.99,54.29,,3.99,3.99,3850160108538,HRANA
JOGURT 3.2% 180g ČAŠA DUKAT,02334069,DUKAT,0.18 kg,ko,0.44,2.44,,0.44,0.44,3850354001133,HRANA
SLAD KORNET ŠUM VOĆE STRAC 120ML LED,02350866,LEDO,0.12 l,ko,1.79,14.92,,1.79,1.79,3850116037851,HRANA
SIR I VRHNJE SVJEZE 200g PRESIDENT,02398953,PRESIDENT,0.20 kg,ko,1.99,9.95,,1.99,1.99,3850355000845,HRANA
SV CARSKO MESO NAR 550g MA PIK VRBOV,02404385,PIK VRBOVEC,0.55 kg,ko,4.39,7.98,,3,4.39,3850139437492,HRANA
VINO PLAVAC 0.75L KV PZ I VIN DINGAČ,03023751,PZ I VIN DINGAČ,0.75 l,ko,6.79,9.05,,6.79,6.79,3859888108042,PIĆE
OCAT BALZAMSKI 0.5L SILVER MONARI,03120122,MONARI FEDERZONI,0.50 kg,ko,4.09,8.18,,4.09,4.09,8003185008931,HRANA
OCAT JABUČNI 1L VRBANEK,03125006,VRBANEK,1.00 l,ko,1.59,1.59,,1.59,1.59,3859891209019,HRANA
KRUPICA PŠENIČNA 400g FRANCK,04030074,FRANCK,0.40 kg,ko,1.69,4.23,,1.19,1.69,3858881081598,HRANA
BRAŠNO POLUBIJELO T-850 5kg MLINETA,04030177,MLINETA,5.00 kg,ko,4.89,0.98,,4.89,4.89,3859888419339,HRANA
TIJESTO LASAGNE 112 500g ZARA,04050190,PASTA ZARA,0.50 kg,ko,2.49,4.98,,2.49,2.49,8004350131126,HRANA
MIX FR 3U1 180g VR,04071163,FRANCK,0.18 kg,ko,2.29,12.72,,2.29,2.29,3858881084452,HRANA
ČAJ ŠIPAK AO 60g PODRAVKA,04090141,PODRAVKA,0.06 kg,ko,2.09,34.83,,2.09,2.09,3850104072710,HRANA
MJEŠAVINA ZAČINA DALMATINSKI 12g L,04101471,NADALINA,0.01 kg,ko,1.09,90.83,,1.09,1.09,3858881580213,HRANA
MED CVJETNI HR 450g APIDAL,04133001,APIDAL,0.45 kg,ko,,13.96,6.28,7.49,7.49,3859889410168,HRANA
KEKS SPORT 300g KRAŠ,04141868,KRAŠ,0.30 kg,ko,1.99,6.63,,1.99,1.99,3850102310111,HRANA
ŠTAPIĆI KVIKI 220g PODRAVKA,04147525,KVIKI,0.22 kg,ko,1.79,8.14,,1.79,1.79,3850104224966,HRANA
PUDING NOUGAT PREMIUM 48g PODRAVKA,04181709,DOLCELA,0.05 kg,ko,0.99,20.62,,0.99,0.99,3850104254727,HRANA
MUFFINS 360g DR OETKER,04182081,DR OETKER,0.36 kg,ko,3.85,10.69,,3.85,3.85,5997381372152,HRANA
BOMBON GUM KIKI COLA 90g KRAŠ,04191609,KIKI,0.09 kg,ko,1.19,13.22,,0.89,1.19,3850102214990,HRANA
ČOKOL MILK MILKINIS MILK 87.5g,04211305,MILKA,0.09 kg,ko,2.49,28.46,,1.39,2.49,7622300108137,HRANA
DESERT TWIX EXTRA 75g,04220838,MARS,0.08 kg,ko,1.49,19.87,,1.49,1.49,5900951312250,HRANA
BOMBON HARIBO JAGODA 100g,04340892,HARIBO,0.10 kg,ko,1.59,15.9,,1.19,1.59,9002975405157,HRANA
KRPA ZA POD TALENT EXTRA SOFT,05355145,VILEDA,1.00 ko,ko,4.79,4.79,,3.35,4.79,4003790000126,PROIZVODI ZA KUĆANSTVO
BLAZINICE NIVEA VIS 80/1,06500021,NIVEA,80.00 ko,ko,,0.03,2.09,2.99,2.99,9005800046334,TOALETNE POTREPŠTINE
PEL PAMPERS PREMIUM MAXI 4 7-18KG 52/1,06500268,PAMPERS,52.00 ko,ko,,0.29,14.99,14.99,14.99,4015400278818,TOALETNE POTREPŠTINE
GEL TUŠ NIVEA COOL M 250ML,06521848,NIVEA,0.25 l,ko,2.99,11.96,,1.89,2.99,4005808775163,KOZMETIKA
SERUM OLIVAL SILIKONSKI ZA KOSU 30ML,06524189,OLIVAL,0.03 l,ko,6.89,229.67,,6.89,6.89,3859888345256,KOZMETIKA
ROLL ON NIVEA Ž FRE 50ml 8095,06555060,NIVEA,0.05 l,ko,,83.8,4.19,4.19,4.19,42241553,KOZMETIKA
ULJE AMBRE SOL KOKOS 200ml,06592083,GARNIER AMBRE SOLAIR,0.20 l,ko,,48.65,9.73,12.99,12.99,3600542450645,KOZMETIKA
GEL TUŠ ULJE NIVEA DIAMOND 250ml,06592653,NIVEA,0.25 l,ko,2.99,11.96,,1.89,2.99,9005800222868,KOZMETIKA
KREMA ZA RUKE NEUTROGENA BR UPIJ 75,06594389,NEUTROGENA,0.08 l,ko,,52.13,3.91,4.89,4.89,3574660239829,KOZMETIKA
PAHULJ LINO PILLOWS MILK 250g PODR,90039261,LINO,0.25 kg,ko,3.49,13.96,,2.49,3.49,3850104259616,HRANA
TORTELLONI 4 VRSTE SIRA 450g,90054298,AURELIA,0.45 kg,ko,4.79,10.64,,4.51,4.79,3859890561033,HRANA
BOJA SYOSS OLEO 4-60 ZLATNO SMEĐA,90059985,SYOSS OLEO,1.00 ko,ko,,6.49,6.49,6.49,7.99,9000100814911,KOZMETIKA
LIZALICA CHUPA CHUPS XXL 29g,90063388,CHUPA CHUPS,0.03 kg,ko,0.89,30.69,,0.71,0.89,84460547,HRANA
DŽEM ŠLJIVA STEVIA K PLUS ACTIVE 330G,90076980,K PLUS,0.33 kg,ko,2.39,7.24,,2.39,2.39,3850334377623,HRANA
ROLL ON GARNIER PROT5 FR FLOR 50ml,90080880,GARNIER,0.05 l,ko,,73.8,3.69,4.59,4.99,3600542119948,KOZMETIKA
NEGAZ PIĆE CAPPY PULPY BRES 1L,90084473,CAPPY PULPY,1.00 l,ko,1.5,1.5,,1.5,1.5,5449000333438,PIĆE
RAKIJA TRAVARICA 0.7L ZVEČEVO,90085686,ZVEČEVO,0.70 l,ko,9.35,13.35,,7.48,9.35,3858894170265,PIĆE
VREĆICA ZAMR LD 3L 25/1 ROYAL,90090473,ROYAL,25.00 ko,ko,1.52,0.06,,1.52,1.52,3858888961015,PROIZVODI ZA KUĆANSTVO
SLAD CARTE D'OR VANILIJA 1L,90116057,ALGIDA CD OR,1.00 l,ko,7.99,7.99,,7.99,7.99,8722700127796,HRANA
PIVO DVA KLASA 0.5l,90132109,MEDVEDGRAD,0.50 l,ko,1.99,3.98,,1.99,1.99,3857500003232,PIĆE
BRUSCHETTE SALAMI PEPPERONI 70g MARETTI,90152721,MARETTI,0.07 kg,ko,,10,0.7,0.7,0.95,3800205873358,HRANA
ZAGREBAČKI ODREZAK 400G LEDO,90157439,LEDO,0.40 kg,ko,7.49,18.73,,6.69,7.49,3850116102917,HRANA
BEČKI ODREZAK 400G LEDO,90157443,LEDO,0.40 kg,ko,7.69,19.23,,6.69,7.69,3850116102900,HRANA
KAŠ INST LINO 3 ŽITARICE 210G,90183936,LINO,0.21 kg,ko,3.19,15.19,,3.19,3.19,3850104275555,HRANA
KRUMPIR ZA PEČENJE I PRŽENJE 2.5 kg,90201911,KORA,2.50 kg,ko,2.79,1.12,,1.99,2.79,3850334151490,HRANA
BOMB PJENASTI PINK&WHITE 60G BEBETO,90210652,BEBETO,0.06 kg,ko,0.89,14.83,,0.86,0.86,8690146101284,HRANA
KREMA TIJ OLEA MEDITER SMILJE 250ml,90735111,OLEA,0.25 l,ko,,9.56,2.39,2.99,2.99,3850334099846,KOZMETIKA
LIZALICE COCTAIL MIX 48/1 920g ROSHEN,90739686,ROSHEN,0.92 kg,ko,5.99,6.51,,5.99,5.99,4823077630743,HRANA
SAPUN OLEA WHITE FLOWER 100 g,90745924,OLEA,0.10 kg,ko,0.59,5.9,,0.59,0.59,3850334071248,KOZMETIKA
SALV PALOMA PINK EAS 33X33 3SL 20/1,90750544,PALOMA,1.00 ko,ko,1.69,1.69,,1.35,2.29,3838952035279,PROIZVODI ZA KUĆANSTVO
ČIPI ČIPS SIR I LUK 120 g,90751046,ČIPI ČIPS,0.12 kg,ko,2.19,18.25,,1.89,2.19,3856021306563,HRANA
CROISSANT 7DAYS MIDI SPUMANTE 60 g,90754776,CHIPITA,0.06 kg,ko,0.86,14.33,,0.65,0.86,7622201391737,HRANA
TORTILJA ČIPS HRUSTY CHEESE 150 g,90759926,HRUSTY,0.15 kg,ko,0.89,5.93,,0.89,0.89,8605028611416,HRANA
BLAZINICE DJ SEPTONA 90/1,90765158,SEPTONA,90.01 ko,ko,3.59,0.04,,3.59,3.59,5201410908220,TOALETNE POTREPŠTINE
ŠAMP I KUP SEPTONA BABY ALOE 500ml,90765164,SEPTONA,0.50 l,ko,4.99,9.98,,4.99,4.99,5201410220056,KOZMETIKA
PAŠTETA KOKOŠJA PRSA JUNIOR 95 g ARGETA,90765313,ARGETA,0.10 kg,ko,1.39,14.63,,1.19,1.39,3838471051712,HRANA
PARTY TRIK MIX 500 g,90769669,TRIK,0.50 kg,ko,2.29,4.58,,2.29,2.29,8600462023573,HRANA
SIR POLUT GAUDA BEZ LAK 300g FREE Z,90770073,FREE ZONE,0.30 kg,ko,3.99,13.3,,3.99,3.99,3838900832028,HRANA
KEČAP BLAGI PREMIUM 760 g ZVIJEZDA,90770105,ZVIJEZDA,0.76 kg,ko,3.49,4.59,,3.49,3.49,3856015330499,HRANA
GEL ČIŠĆ GARNIER PURE CHARC 250 ml,90774651,GARNIER,0.25 l,ko,6.99,27.96,,6.99,6.99,3600542566261,KOZMETIKA
SLAD MOCHI KAR ČOK LITTLE MOONS 6x32 g,90774791,LITTLE MOONS,0.19 kg,ko,,30.63,5.88,6.99,6.99,5027324003277,HRANA
REGENERATOR SYOSS INTEN PLEX 250 ml,90775211,SYOSS,0.25 l,ko,6.49,25.96,,6.49,6.49,9000101731545,KOZMETIKA
DEO STICK AXE JUNGLE FRESH 50 ml,90775340,AXE,0.05 l,ko,,68.2,3.41,4.55,4.55,8720181437373,KOZMETIKA
KREKER KUK MAHUNARKE ACTIVE ZONE 120 g,90779959,ACTIVE ZONE,0.12 kg,ko,1.49,12.42,,1.19,1.49,3838900837412,HRANA
KIKIRIKI HRUSTY U TIJESTU MIX 300g,90794708,HRUSTY,0.30 kg,ko,2.59,8.63,,1.99,2.59,3850334420206,HRANA
DŽEM K PLUS EXTRA SMOKVA 350g,90794843,K PLUS,0.35 kg,ko,2.49,7.11,,1.99,2.49,3850334112989,HRANA
PROSECCO CUVEE VALDO DOC EDRY 0.75 l,90794979,VALDO,0.75 l,ko,12.05,16.07,,12.05,12.05,8002335620061,PIĆE
ROVUS SPIN MOP,90795582,ROVUS,1.00 ko,ko,,33.88,33.88,27.99,39.99,3858894408511,PROIZVODI ZA KUĆANSTVO
SALV PALOMA BOŽIĆ FOX 33X33 20/1,90800091,PALOMA,20.00 ko,ko,2.29,0.11,,2.29,2.29,3838952035521,PROIZVODI ZA KUĆANSTVO
KAVA MLJEV VIENNA JULIUS M 220g,90804881,JULIUS MEINL,0.22 kg,ko,6.59,29.95,,6.59,6.59,9000403975456,HRANA
PERECI LOMLJENI MINI MED SENF LUK 125g ELEPHANT ,90809881,ELEPHANT,0.13 kg,ko,1.89,15.12,,1.59,1.89,5949040203529,HRANA
TOAST AMERICAN 750 g XXL KLARA,90810144,KLARA,0.75 kg,ko,2.99,3.99,,2.99,2.99,3856016906945,HRANA
KULEN 300 g XXL NAR PODRAVKA,90810351,PODRAVKA,0.30 kg,ko,5.99,19.97,,5.99,5.99,3856020261849,HRANA
LAN BIO ZONE 500 g,90824905,BIO ZONE,0.50 kg,ko,1.99,3.98,,1.69,1.99,3838900841051,HRANA
SUNCOKRET SJEMENKE BIO ZONE 500 g,90824911,BIO ZONE,0.50 kg,ko,1.99,3.98,,1.49,1.99,3838900841105,HRANA
SNACK VOĆ JAB/KRUŠ/BAN 180g NUTRINO,90825362,NUTRINO,0.18 kg,ko,1.89,10.5,,1.89,1.89,8606019651602,HRANA
KOLAČ DULCETTI LIMUN 400g,90825820,DULCETTI,0.40 kg,ko,2.49,6.23,,2.49,2.49,3850334420466,HRANA
SET BUGATTI M EDT100+SG200,90826315,BUGATTI,1.00 ko,ko,20,20,,20,20,4051395414510,KOZMETIKA
NEG PIĆE A+C+E  VINDI 0.5 L,90829830,VINDI,0.50 l,ko,0.99,1.98,,0.99,0.99,3850108072327,PIĆE
SARDINA BIO MASL ULJE 100/70g MAR,90830108,MARDEŠIĆ,0.07 kg,ko,2.49,35.57,,2.49,2.49,3859891129096,HRANA
PROTEIN ZOE WHEY MOZART KUGELN 25 g,90839963,ZOE,0.03 kg,ko,1.99,79.6,,1.99,1.99,3856026710044,HRANA
SPREJ TAFT LOVELY LONG 150 ml,90850652,TAFT,0.15 l,ko,,31.93,4.79,4.79,5.99,9000101735710,KOZMETIKA
