naziv;¹ifra;marka;neto kolièina;jedinica mjere;MPC;cijena za jedinicu mjere;MPC za vrijeme posebnog oblika prodaje;Najni¾a cijena u posljednjih 30 dana;datum sidrene cijene;sidrena cijena na 2.5.2025.;barkod;kategorija proizvoda
NJOKI CUCINA ITALIA.1 kg ;1010;;1.0000;kg;3.69;3.69;;;02.05.2025;3.69;8000506014107;Hrana
PUDER BECUTAN ZA DJECU 100 g;1040;Becutan;0.1000;kg;3.25;32.50;;;02.05.2025;3.25;5310001139247;Kozmetika
ULJE BECUTAN ZA DJECU 200 ml;1041;Becutan;0.2000;L;3.89;19.45;;;02.05.2025;3.89;5310001166380;Kozmetika
KUPKA BECUTAN ZA DJECU 200 ml;1042;Becutan;0.2000;L;3.49;17.45;;;02.05.2025;3.49;5310001166397;Kozmetika
©AMPON BECUTAN ZA DJECU 200 ml;1044;Becutan;0.2000;L;3.29;16.45;;;02.05.2025;3.29;5310001166410;Kozmetika
SAPUN BECUTAN DJEÈJI 90 g;1045;Becutan;0.0900;kg;1.15;12.78;;;02.05.2025;1.15;5310001138004;Kozmetika
KREMA BECUTAN ZA DJECU 50 ml;1047;Becutan;0.0500;L;2.69;53.80;;;02.05.2025;2.69;5310001146887;Kozmetika
KREMA BECUTAN ZA DJECU 100 ml;1050;Becutan;0.1000;L;3.89;38.90;;;02.05.2025;3.89;5310001146894;Kozmetika
DRES.DEVELEY SA ZAÈ 75 ml VREÆ;1059;Develey;0.0750;L;0.79;10.53;;;02.05.2025;0.79;4006824028219;Hrana
DRES.DEVELEY JOG 75 ml VREÆICA;1078;Develey;0.0750;l;0.79;10.53;;;02.05.2025;0.79;4006824018111;Hrana
BRA©NO T-1100 FARINA 1 kg;1079;;1.0000;kg;1.09;1.09;;;02.05.2025;1.12;3859890160144;Hrana
MED MELBI LIPA 450 g;1090;Melbi;0.4500;kg;8.62;19.16;;;02.05.2025;8.62;38502095;Hrana
KR.DEZODORANTSKA LIDERA 50 ml;1104;Lidera;0.0500;L;3.58;71.60;;;02.05.2025;3.58;3838980810121;Kozmetika
©EÆER SMEÐI LARA PVC 1 kg;1130;;1.0000;kg;3.99;3.99;;;02.05.2025;3.99;3859890118145;Hrana
MED MELBI CVJETNI 450 g;1141;Melbi;0.4500;kg;8.22;18.27;;;02.05.2025;8.22;38502002;Hrana
JOG.VOÆ.JOGOB.CLASS.ZOTT 150 g;1187;Zott;0.1500;kg;0.66;4.40;;;02.05.2025;0.66;4014500503646;Hrana
JOG.VOÆ.JOGOB.EXOTI.ZOTT 150 g;1188;Zott;0.1500;kg;.79;5.27;;;02.05.2025;.79;4014500503684;Hrana
INDIJSKI ORA©.SEEBERGER 150 g ;1196;Seeberger;0.1500;kg;5.99;39.93;;;02.05.2025;5.99;4008258038000;Hrana
PIVO BUDWEISER PR. 0,5 L LIM;1205;Budweiser Budvar;0.5000;L;1.59;3.18;;;02.05.2025;1.59;8594403709797;Piæa
LIKER JAGERMEISTER 1 L;1210;;1.0000;l;22.39;22.39;;;02.05.2025;22.39;4067700015013;Piæa
LIKER JAGERMEISTER 0,7 L;1212;;0.7000;l;16.99;24.27;;;02.05.2025;16.99;4067700032935;Piæa
SREDSTVO PERMETAL 650 ml ;1269;Permetal;0.6500;L;2.89;4.45;;;02.05.2025;2.89;3850111753596;Sredstva za èi¹æenje
SPU®VA GLITZI CRYSTAL 1/1;1280;;1.0000;kom;1.99;1.99;;;02.05.2025;1.99;3838447000294;Proizvodi za kuæanstvo
SPU®VA RAINBOW 10/1;1334;;10.0000;kom;4.29;0.43;;;02.05.2025;4.29;4023103242944;Proizvodi za kuæanstvo
