BARKOD_ARTIKLA,SIFRA_ARTIKLA,NAZIV_ARTIKLA,BRAND,ROBNA_STRUKTURA,JEDINICA_MJERE,NETO_KOLICINA,MPC,MPC_POSEBNA_PRODAJA,CIJENA_PO_JM,MPC_NAJNIZA_30,MPC_020525,DATUM_ULASKA_NOVOG_ARTIKLA,PRVA_CIJENA_NOVOG_ARTIKLA
5000299605004,10030942,"GIN 0,70 L BEEFEATER 24",,PAKIRANA HRANA I PIĆE,kom,"1,000","33,99",,"33,99",,"33,99",,
3859893357138,10031583,"PIVO BOŽIĆNO 0,5 L BOCA",,PAKIRANA HRANA I PIĆE,kom,"0,500","2,75",,"5,5",,"2,39",,
8007898042305,10031778,BRISAČ PODA MOP TRAKASTI,,NEPREHRANA,kom,"1,000","2,29",,"2,29",,"2,29",,
9002043034197,10032131,SENF 1.2 kg SENNA,,PAKIRANA HRANA I PIĆE,kom,"1,200","6,49",,"5,41",,"6,49",,
3850112142894,10032860,"GIN 0,7 L SAX DRY BADEL",SAX,PAKIRANA HRANA I PIĆE,kom,"0,700","12,99",,"18,56",,"12,99",,
8001090698346,10033271,PAMPERS PANTS SPLASHER S3 12/1,PAMPERS,NEPREHRANA,kom,"12,000","7,49",,"0,62",,"7,49",,
3858883239669,10034547,LAMPION DIAMANT PAXDEI,,NEPREHRANA,kom,"1,000","3,69",,"3,69",,"3,69",,
9000100883085,10034724,BOJA ZA KOSU PALETTE ICC W2 TA,PALETTE,NEPREHRANA,kom,"1,000","5,99",,"5,99",,"5,99",,
4003310159808,10034991,"PJEN.HENKEL TROCKEN 1,5L",,PAKIRANA HRANA I PIĆE,kom,"1,500","35,99",,"23,99",,"35,99",,
8004030538023,10030614,PAŠTETA TUNA I 3 PAPRA 100 g,RIO MARE,PAKIRANA HRANA I PIĆE,kom,"0,100",,"1,99","19,9","4,29","4,29",,
3831070652199,10030686,GEL ZA TUŠ. 250 ml GROŽĐE,AFRODITA,NEPREHRANA,kom,"0,250","2,85",,"11,4",,"2,85",,
3859891493616,10034296,SAL.KIS.KUPUS 250g MASLIN.,,SVJEŽI ODJELI,kom,"0,250","1,45",,"5,8",,"1,45",,
3850104024917,10036529,KVIKI GRIC PANCETA 50 g PODRAV,KVIKI,PAKIRANA HRANA I PIĆE,kom,"0,050","0,95",,19,,"0,95",,
3753,10037301,KOLAČ RAŠKO/VIŠ. 125 g VIKTOR,,SVJEŽI ODJELI,kom,"0,125","1,17",,"9,34",,"1,17",,
3858884090634,10037511,"ČAJ KOPRIVA 20*1,5 g NATURAVIT",NATURAVITA,PAKIRANA HRANA I PIĆE,kom,"0,030","2,49",,83,,"2,49",,
8691707062402,10037923,KEKS PAPITA 33 g SOLEN,SOLEN,PAKIRANA HRANA I PIĆE,kom,"0,033","0,39",,"11,82",,"0,39",,
8606017374251,10040616,ŠTAPIĆI KIKIRIKI 40 g PARDON,PARDON,PAKIRANA HRANA I PIĆE,kom,"0,040","0,65",,"16,25",,"0,65",,
291840,10041624,SM. MUZGAVAC,,SVJEŽI ODJELI,kg,"1,000","5,97",,"5,97",,"5,97",,
4023103126251,10042645,VALJAK ZA UKLANJANJE DLAKA 58 KOM PET PRO VILEDA,,NEPREHRANA,kom,"58,000","6,49",,"0,11",,"6,49",,
3838975567214,10044318,PAŠTETA KOKOŠJA 3X95 g ARGETA,ARGETA,PAKIRANA HRANA I PIĆE,kom,"0,285","4,29",,"15,05",,"4,29",,
3800093510144,10044536,KOLAČ KAKAO KREMA 300 g LA TRE,CAKE MANIA,PAKIRANA HRANA I PIĆE,kom,"0,300",,"1,29","4,3","1,89","1,89",,
4015400922674,10045140,DET. ZA POSUĐE 450 ml JAR POMEGRANATE,JAR,NEPREHRANA,kom,"1,000",,"1,89","1,89","2,29","2,29",,
5060120163851,10045350,XPEL SPREJ 70 ml UBLAŽAVA UBOD,XPEL,NEPREHRANA,kom,"0,070","3,29",,47,,"3,29",,
5906927020846,10045901,SVIJEĆA MIRISNA XMAS DEZEN,,NEPREHRANA,kom,"1,000","4,29",,"4,29",,"4,29",,
5997381369619,10050303,SLADILO SWEET ZERO 200 g DR.OE,DR. OETKER,PAKIRANA HRANA I PIĆE,kom,"0,200","4,99",,"24,95",,"4,99",,
5200352990003,10050369,MASLINE KALAM.CIJ.360 g FOS,,PAKIRANA HRANA I PIĆE,kom,"0,360","4,99",,"13,86",,"4,99",,
7622202215735,10050702,KROASAN FAM. MILLEF.185 g 7DAY,7 DAYS,PAKIRANA HRANA I PIĆE,kom,"0,185","2,99",,"16,16",,"2,99",,
3870183400396,10051226,NAPITAK GAZ.NARANČA 1 L PIPI,PIP,PAKIRANA HRANA I PIĆE,kom,"1,000","1,49",,"1,49",,"1,49",,
